Model,Target,MSE,RMSE,MAE,R2,Explained Variance
Baseline,alignment_status_rating,11.765991589858091,3.4232973422352186,3.00939768996827,-0.04231698387066816,-1.3322676295501878e-16
Baseline,bearing_lubrication_rating,0.0738527654893549,0.27079571484845644,0.22266426145292645,-0.036518138153342775,-4.4408920985006264e-17
Baseline,crest_factor_rating,1.0250857963840043,0.9869794532081035,0.8435849890156252,-2.1993324356466575,-2.2204460492503132e-17
Baseline,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
Baseline,fit_condition_rating,5.654433395380172,2.3565427026078294,1.5646494527590227,-0.08399656479156947,4.4408920985006264e-17
Baseline,kurtosis_opt_rating,0.9615818525787807,0.9772997832674853,0.8569888982310425,-3.1516302873416393,-4.4408920985006264e-17
Baseline,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
Baseline,rms_1_10khz_rating,0.011087372213697783,0.10378718277729167,0.08615853317263346,-0.7684562697585028,-8.881784197001253e-17
Baseline,rotor_balance_status_rating,5.625029028274718,2.3708213112363516,1.948200115165837,-0.062416214976339465,-8.881784197001253e-17
Baseline,rubbing_condition_rating,0.46123980404439663,0.6488918232509926,0.5197581035632712,-1.7372781062233642,6.661338147750939e-17
Baseline,velocity_rms_rating,4.802206483603955,2.1836263056485605,1.679313578268371,-0.031534519441833275,-1.3322676295501878e-16
Baseline,peak_value_opt_rating,0.4211308669120494,0.6410525901157923,0.49923864828858877,-0.21193279099021378,-2.2204460492503132e-17
Ridge,alignment_status_rating,13.33199702598426,3.589877028499013,3.003263150700917,-0.16354204069549955,-0.124693862905211
Ridge,bearing_lubrication_rating,0.06880875384019132,0.2610385991036178,0.20722123703669065,0.03504209798687763,0.10540234266733994
Ridge,crest_factor_rating,2.477576519134236,1.360955604216334,0.8702541580726766,-5.05434062910778,-3.1280289503673564
Ridge,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
Ridge,fit_condition_rating,5.0462217180833315,2.2073178179545994,1.6129774015728557,0.02352048980722976,0.1798188475909655
Ridge,kurtosis_opt_rating,0.9626005328280064,0.9616439584256538,0.7662971987695177,-2.697356053873953,-0.23442778169758832
Ridge,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
Ridge,rms_1_10khz_rating,0.007305496433947451,0.08505253765581594,0.06667892127907564,-0.12354844545846544,0.06058004908732719
Ridge,rotor_balance_status_rating,18.25298173559426,3.522370044889791,2.153129479592447,-2.7430080497836307,-2.6664352173012973
Ridge,rubbing_condition_rating,1.5030314681485546,1.0685691661594272,0.6806571614580296,-7.007411081991092,-4.251974582453008
Ridge,velocity_rms_rating,5.7082731034758485,2.3556064963701937,1.6988338708892623,-0.2701793144966133,-0.22478882284310792
Ridge,peak_value_opt_rating,0.37932364064563734,0.6119811416142354,0.4702554166165793,-0.11454695280715174,-0.0062393518094046255
PolyRidgeDegree2,alignment_status_rating,236.32183880418506,9.610414862712028,3.9550150791893772,-18.16000449118641,-17.837376729549124
PolyRidgeDegree2,bearing_lubrication_rating,25.896960543659503,2.4828401233189954,0.6218382882367235,-288.2302132964346,-280.31618639662537
PolyRidgeDegree2,crest_factor_rating,771.663479652259,13.60296742391796,3.211875387414252,-1655.8363824639298,-1628.3342307372106
PolyRidgeDegree2,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree2,fit_condition_rating,81642.88852092675,129.4358153975666,25.372696050308967,-19012.020817801276,-18347.471952366974
PolyRidgeDegree2,kurtosis_opt_rating,4107.887623373262,29.43503733466728,6.087209593640282,-5981.263538932043,-5773.690301060573
PolyRidgeDegree2,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree2,rms_1_10khz_rating,0.7840920232202648,0.49205517745033267,0.15685544242966087,-132.82372227367574,-132.01093739037043
PolyRidgeDegree2,rotor_balance_status_rating,84088.77143940704,131.63101579205357,26.225377960905785,-17832.852186264623,-17201.638329810623
PolyRidgeDegree2,rubbing_condition_rating,2092.752085139061,21.083251411588996,4.450273408168636,-9963.43796796408,-9599.969239138623
PolyRidgeDegree2,velocity_rms_rating,1616.4434007977877,20.53927526428043,4.8962881221459424,-404.2702471152945,-403.04755327572974
PolyRidgeDegree2,peak_value_opt_rating,547.1383843544806,11.512905674878732,2.857658042943796,-2513.153853336993,-2430.588193085089
RandomForest,alignment_status_rating,9.242113973089989,2.996675268417624,2.479723368622376,0.1806188597563051,0.2684179576777199
RandomForest,bearing_lubrication_rating,0.06158893476914433,0.24708813971092822,0.19769851240195419,0.11512256917790002,0.21482450461919642
RandomForest,crest_factor_rating,0.5236700716892633,0.6966770234554219,0.5578902175237472,-0.32634621892778326,0.11879571888969567
RandomForest,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
RandomForest,fit_condition_rating,3.3534338940365687,1.7791422844983429,1.2268046891728563,0.34717203734220325,0.4237447605884756
RandomForest,kurtosis_opt_rating,0.5682961154374933,0.7343831446279577,0.5427728272401459,-0.8365531600562048,-0.053237735112700045
RandomForest,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
RandomForest,rms_1_10khz_rating,0.0049935195610179214,0.06749859544307336,0.050131857376809794,0.28769573095810536,0.41863446361886725
RandomForest,rotor_balance_status_rating,4.735319334544753,2.165000728762292,1.7364511855082672,0.11535295242299978,0.17111051334931995
RandomForest,rubbing_condition_rating,0.3194095160140955,0.534268918755574,0.4328117619536561,-0.4734023069496275,0.02601175895162309
RandomForest,velocity_rms_rating,2.488989640579705,1.5597887922786875,1.150977700612564,0.4709682772231406,0.48376952182615646
RandomForest,peak_value_opt_rating,0.37923991638147364,0.6097761170955136,0.46460132779196117,-0.09545839481975264,0.005602427111220299
XGBoost,alignment_status_rating,10.170733595610201,3.173042655721725,2.6953183925695585,0.10243990684991526,0.1338747006152491
XGBoost,bearing_lubrication_rating,0.0592626736022301,0.24280127141230637,0.19401543761136214,0.1542875414058835,0.22820732563612073
XGBoost,crest_factor_rating,0.563019520768385,0.7140177241408849,0.5729587252432842,-0.3252212180565619,0.15226756166044592
XGBoost,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
XGBoost,fit_condition_rating,3.392769233862314,1.7734629214818565,1.248023670218842,0.34725933158022826,0.4578806926579004
XGBoost,kurtosis_opt_rating,0.4809943214555473,0.6622216347438759,0.49057868895056655,0.003828474277239713,0.17446247800081705
XGBoost,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
