,datetime,location,High-Frequency Acceleration,Low-Frequency Acceleration Z,Temperature,Vibration Velocity Z,Device,alignment_status,bearing_lubrication,crest_factor,electromagnetic_status,fit_condition,kurtosis_opt,peak_value_opt,rms_10_25khz,rms_1_10khz,rotor_balance_status,rubbing_condition,velocity_rms
0,2025-04-01 00:00:00,Gear Reducer,1.66156,1.58601,38.8,2.10817,8#Belt Conveyer,87.6,97.33,89.46,98.0,90.28,85.64,90.46,98.0,96.92,80.49,96.03,70.13
1,2025-04-01 00:00:00,Gearbox First Shaft Input End,2.83816,2.45478,41.5,2.46951,8#Belt Conveyer,87.6,97.33,89.46,98.0,90.28,85.64,90.46,98.0,96.92,80.49,96.03,70.13
2,2025-04-01 00:00:00,Motor Drive End,2.57576,2.00625,19.6,7.17157,8#Belt Conveyer,87.6,97.33,89.46,98.0,90.28,85.64,90.46,98.0,96.92,80.49,96.03,70.13
3,2025-04-01 00:00:05,Gear Reducer,1.76099,1.67884,38.8,2.74165,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
4,2025-04-01 00:00:05,Gearbox First Shaft Input End,2.95441,2.52789,41.5,2.1553,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
5,2025-04-01 00:00:05,Motor Drive End,2.90726,2.36483,19.6,5.55355,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
6,2025-04-01 00:00:10,Gear Reducer,1.65418,1.56861,38.8,2.29358,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
7,2025-04-01 00:00:10,Gearbox First Shaft Input End,2.86345,2.44067,41.5,2.30226,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
8,2025-04-01 00:00:10,Motor Drive End,2.57396,2.03293,19.6,7.33415,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
9,2025-04-01 00:00:15,Motor Drive End,2.90597,2.34161,19.6,5.6617,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
10,2025-04-01 00:00:15,Gearbox First Shaft Input End,2.90405,2.51368,41.5,2.25061,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
11,2025-04-01 00:00:15,Gear Reducer,1.69639,1.61798,38.8,2.51289,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
12,2025-04-01 00:00:20,Gear Reducer,1.68301,1.59756,38.8,2.4262,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
13,2025-04-01 00:00:20,Gearbox First Shaft Input End,2.9491,2.52445,41.5,2.19924,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
14,2025-04-01 00:00:20,Motor Drive End,2.62391,2.05697,19.6,7.27275,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
15,2025-04-01 00:00:25,Gear Reducer,1.67495,1.59578,38.8,2.42601,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
16,2025-04-01 00:00:25,Gearbox First Shaft Input End,2.87818,2.48777,41.5,2.29348,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
17,2025-04-01 00:00:25,Motor Drive End,2.93769,2.35754,19.6,5.565,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
18,2025-04-01 00:00:30,Gear Reducer,1.69679,1.60722,38.8,2.55838,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
19,2025-04-01 00:00:30,Gearbox First Shaft Input End,2.95675,2.5194,41.5,2.08423,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
20,2025-04-01 00:00:30,Motor Drive End,2.59473,2.00116,19.6,7.14569,8#Belt Conveyer,81.82,97.2,90.18,98.0,88.27,85.67,91.07,98.0,96.96,81.14,95.72,70.2
