Model,Target,MSE,RMSE,MAE,R2,Explained Variance
Baseline,alignment_status,5.666602802580116,2.2090351190260864,1.894022367271314,-0.5512861548750199,0.0
Baseline,bearing_lubrication,0.12194706333063739,0.3154397344640792,0.2906540027863719,-4.9045511315115435,0.0
Baseline,crest_factor,0.26825271193421163,0.4617802708080319,0.3850289812725965,-0.620734323876964,-8.881784197001253e-17
Baseline,electromagnetic_status,0.0,0.0,0.0,1.0,1.0
Baseline,fit_condition,3.05051810324338,1.6653651317070337,1.5351334134866932,-8.150085283184424,1.1102230246251565e-16
Baseline,kurtosis_opt,0.3392310600732788,0.5670240960606592,0.528380834902984,-0.8718992312347839,2.2204460492503132e-17
Baseline,peak_value_opt,0.1547611316448182,0.3555202144166758,0.2904197730354736,-0.5918159050983384,1.1102230246251565e-16
Baseline,rms_10_25khz,0.0,0.0,0.0,1.0,1.0
Baseline,rms_1_10khz,0.008783660041263653,0.08825649438618201,0.07493417555801626,-7.639941466244568,0.0
Baseline,rotor_balance_status,5.205231395402084,2.171308386496955,1.8016996431926802,-1.9467477759041685,-4.4408920985006264e-17
Baseline,rubbing_condition,0.3323949479682627,0.5667380382302201,0.5342780091116318,-0.772287123609938,-8.881784197001253e-17
Baseline,velocity_rms,6.909883427775954,2.4641296162864164,2.2317640828363645,-1.2175574824515982,6.661338147750939e-17
Ridge,alignment_status,9.156788473957377,2.672503895407067,2.3337312854572048,-1.4219333887709011,-0.3828928116973655
Ridge,bearing_lubrication,0.13599656585497472,0.34040414197259883,0.295231950352823,-6.697927012129794,-4.745898050122146
Ridge,crest_factor,1.0361722952113495,0.7951409019113491,0.7011374819037011,-3.3512071050570826,-0.6257585149246033
Ridge,electromagnetic_status,0.0,0.0,0.0,1.0,1.0
Ridge,fit_condition,3.684385714255074,1.7514241475859502,1.5389772141997062,-14.760865086150957,-1.433020875565785
Ridge,kurtosis_opt,0.7376200614273417,0.7902571665596463,0.7120695231202017,-3.47582318612829,-0.125941672295448
Ridge,peak_value_opt,0.4903007362095134,0.5532880388219559,0.48456884860327654,-2.2430563028597716,-0.32848472415887536
Ridge,rms_10_25khz,0.0,0.0,0.0,1.0,1.0
Ridge,rms_1_10khz,0.01052070543096655,0.08743997066528221,0.0688821279169904,-2.0227947896201086,-1.682490382596745
Ridge,rotor_balance_status,17.896644608158084,3.7079376852396058,3.429150914139383,-10.622305276533586,-0.8164467800176768
Ridge,rubbing_condition,0.5066876972511389,0.6482310019180223,0.6053873195668886,-1.7208667467666416,-0.14019722277746044
Ridge,velocity_rms,10.303170840699863,2.770480929895946,2.583238492499852,-2.502904863213962,-0.14906600974000114
