Best Model,Target,MSE,RMSE,MAE,R2,Explained Variance
RandomForestRegressor,alignment_status_rating,8.23012809747457,2.862163915117243,2.35617214598032,0.27220445396231757,0.29864798718084096
RandomForestRegressor,bearing_lubrication_rating,0.05824410881175471,0.2413162903736756,0.1880215342755495,0.17211964822287,0.19093306971759194
RandomForestRegressor,crest_factor_rating,0.4661009232120117,0.6679681456693145,0.5174700620384168,0.15811920169325852,0.21975095245276444
DummyRegressor,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
RandomForestRegressor,fit_condition_rating,3.5047238658307087,1.8336827272046945,1.3839442820280274,0.35770440216933697,0.44262744804493986
RandomForestRegressor,kurtosis_opt_rating,0.6165761988617665,0.7784875009662594,0.5653725635175054,0.17764584328612956,0.21443911198342994
DummyRegressor,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
RandomForestRegressor,rms_1_10khz_rating,0.008166558340495221,0.08548134816517922,0.06813778455667781,-0.4807725724085354,0.10332875924145209
RandomForestRegressor,rotor_balance_status_rating,4.599614298946136,2.142098547162331,1.7293926737657186,0.12390001711566316,0.18561154323148157
SVR,rubbing_condition_rating,0.39997906007282297,0.6026476841774645,0.4789608512794987,-0.3014530220414046,-0.07331349111491321
RandomForestRegressor,velocity_rms_rating,2.1303663774927415,1.4547432685534243,1.0991831468696633,0.4996677575005388,0.5022135460987379
DummyRegressor,peak_value_opt_rating,0.4243069522189977,0.6423836193148332,0.495087221138708,-0.10740453822310725,0.0
